Title,categories
The Demigod,['Juvenile Fiction']
Degrees of Guilt: Kyra's Story,['Juvenile Fiction']
Joshua and the Children,['Fiction']
ORDINARY JUSTICE.,['Political Science']
The Workbook of Living Prayer,['Religion']
Staying Alive: Real Poems for Unreal Times,['Poetry']
Debbie My Life Debbie Reynolds (large print),['Biography & Autobiography']
Marx's Concept Of Man,['Philosophy']
Inspiring Hymns,['Music']
"The Benefits of Marijuana : Physical, Psychological & Spiritual",['Marijuana']
One Hundred Years of Solitude,['Fiction']
Men At Arms (Turtleback School & Library Binding Edition) (Discworld Novels),['Fiction']
The Canterbury Tales,['Poetry']
"HER NAME, TITANIC",['Science']
The Complete Book of Dutch Oven Cooking,['Cooking']
Crewel Lye (A Caustic Yarn),['Fiction']
"Good Food, Served Right : Traditional Recipes and Food Customs from New York's North Country",['Cooking']
Winged Victory: The Army Air Forces in World War II,['History']
Cambridge Advanced Learner's Dictionary CD-ROM,['Foreign Language Study']
Not Without Laughter,['Fiction']
Sword & Sorcery Anthology,['Fiction']
The Iron Tree,['Fiction']
Extraordinary African Americans (Turtleback School & Library Binding Edition),['Juvenile Fiction']
Welding with Children: Stories,['Fiction']
WINTER GRASS,['Gardening']
"The Me I Knew I Could Be: How I Lost 157 Pounds, Gained Self-Esteem, and a Healthier Life and How You Can, Too!",['Health & Fitness']
"How to Be a 3% Man, Winning the Heart of the Woman of Your Dreams",['Family & Relationships']
Babe The Legend Comes To Life,['Biography & Autobiography']
Black Square & Compass: 200 years of Prince Hall Freemasonry,['Art']
Surrender Dorothy,['Fiction']
Requiem for a Wren,['Fiction']
THE HORIZON BOOK OF THE AGE OF NAPOLEON.,['France']
We Are Witnesses: Five Diaries of Teenagers Who Died in the Holocaust,['Juvenile Nonfiction']
Fattitudes: Beat Self-Defeat and Win Your War With Weight,['Health & Fitness']
False Intimacy: Understanding the Struggle of Sexual Addiction (LifeChange),['Religion']
America Revised,['History']
Middle Eastern mythology (Pelican books),['Fiction']
"Torture And Modernity: Self, Society, And State In Modern Iran (Institutional Structures of Feeling)",['Social Science']
Indian Cooking,['Cooking']
4 Zinas: A Story of Mothers and Daughters on the Mormon Frontier,['Biography & Autobiography']
Suture Self (Bed-And-Breakfast Mysteries),['Fiction']
"BrainJuice: Science, Fresh Squeezed!",['Juvenile Fiction']
The Dagger and the Cross: A Novel of the Crusades,['History']
An Acquaintance with Darkness,['Young Adult Fiction']
The Gregg Reference Manual,['Language Arts & Disciplines']
Just Java 2,['Computers']
Tiger Lil,['Juvenile Fiction']
Journey to Hell,['Fiction']
Hound of the Baskervilles (Lrs Large Print Heritage Series),['Fiction']
As A Man Grows Older (Sun and Moon Classics),['Fiction']
Fox Adult Magazine:August 1995,['Language Arts & Disciplines']
Bighorse the Warrior,['Biography & Autobiography']
Grammar for Smart People: Your User-Friendly Guide to Speaking and Writing Better English,['Language Arts & Disciplines']
Pilgrim's Progress,['Fiction']
Complete Poems,['Poetry']
Girl Culture,['FAMILY & RELATIONSHIPS']
Dawn on a Distant Shore,['Fiction']
When All Hell Breaks Loose,['Health & Fitness']
The Art of Planting,['Gardening']
An Introduction to the Methods of Optical Crystallography,['Crystal optics']
Where the Rivers Ran Backward,['Soldiers']
Germs,['Religion']
"Nietzsche's Corps/e: Aesthetics, Politics, Prophecy, or, the Spectacular Technoculture of Everyday Life (Post-Contemporary Interventions)",['Philosophy']
Wee Sing Silly Songs with Book,['Juvenile Fiction']
Volcano in My Tummy: Helping Children to Handle Anger,['Education']
"The Mystery of the Flying Express (Hardy Boys, Book 20)",['Juvenile Fiction']
"The Cases That Haunt Us: From Jack The Ripper To Jon Benet Ransey, The",['True Crime']
"Guarda tus tristezas en una caja grande, sintate encima y re!",['Fiction']
History of the Byzantine state,['History']
Collected Plays,['Drama']
The Joy of Juicing: Creative Cooking With Your Juicer; Completely Revised and Updated,['Cooking']
Myth & Middle-Earth: Exploring the Medieval Legends Behind J.R.R. Tolkien's Lord of the Rings,['Social Science']
Six Battles Every Man Must Win: . . . and the Ancient Secrets You'll Need to Succeed,['Religion']
The Pie and Pastry Bible,['Cooking']
My Sleepy Room,['Fiction']
Richard Thompson: The Biography,['Art']
The Satanic Mill,['Germany']
Polymath,['Business & Economics']
Portraits from Memory and Other Essays,['Philosophy']
All That Glitters,['Fiction']
"The Affair , the Case of Alfred Dreyfus",['History']
Recollections of a Confederate staff officer,['History']
The Pauline eschatology,['Religion']
Nostromo,['Fiction']
CRM Automation,['Business & Economics']
DAWN SONG,['History']
Slinky Malinki Catflaps (Gold Star First Readers),['Juvenile Fiction']
"Contra Keynes and Cambridge: Essays, Correspondence (The Collected Works of F. A. Hayek, Vol 9)",['Business & Economics']
The Cherry Orchard,['Drama']
"Brief Guide to Ideas, A",['Philosophy']
Swimming Lessons,['Fiction']
Courage,['Psychology']
The Bride's Book of Etiquette,['Reference']
Portrait of The Artist as a Young Dog,['Fiction']
Young Joseph (His Joseph and his brothers),['Fiction']
Grammar for Smart People,['Education']
Say It in Yiddish,['Reference']
THIRD SECRET: A Novel Of Suspense (H),['Copyright']
I Want to Be a Veterinarian,['Juvenile Fiction']
EXPENDABLE.,['Fiction']
Restless Giant: The United States from Watergate to Bush vs. Gore (Oxford History of the United States),['History']
The Quantum Quark,['Science']
WHEN DO FISH SLEEP AND OTHER IMPONDERABLES OF EVERYDAY LIFE,['Reference']
A GIFT OF WINGS,['Transportation']
Aiding and Abetting: A Novel,['Fiction']
Intercollegiate Athletics and the American University: A University President's Perspective,['Education']
Riding Logic,['Horsemanship']
The Man Who Planted Trees: A Story Jean Giono,['Fiction']
"The Kindling (The Fire-Us Trilogy, Book 1)",['Juvenile Fiction']
The Spiral Dance 10th Anniversary Edition (A Rebirth of the Ancient Religion of the Great Goddess),"['Body, Mind & Spirit']"
Stubborn Twig: Three Generations in the Life of a Japanese American Family,['History']
Gambling theory & other topics,['Games & Activities']
"Ancient Egyptian Literature: Volume I: The Old and Middle Kingdoms (Near Eastern Center, UCLA)",['Eastern Pomo language']
Field Quantization,['Science']
The Real Odessa - How Peron Brought the Nazi War Criminals to Argentina,['Argentina']
The Myth of the State,['Social Science']
Manga! Manga!: World of Japanese Comic Books,"['Comic books, strips, etc']"
Bulbs,['Gardening']
Gone Is Gone Or The Story Of A Man Who Wanted To Do Housework,['Juvenile Fiction']
Jim the Boy,['Fiction']
Silver Seeds: A Book Of Nature Poems (Turtleback School & Library Binding Edition),['Juvenile Nonfiction']
Larry Potter and His Best Friend Lilly,['Juvenile Fiction']
The Last Book of Swords: Shieldbreaker's Story (Swords Series),['Fiction']
Introduction to Analysis,['Mathematics']
The Science of Ecology,['Science']
Catholic and Christian: An Explanation of Commonly Misunderstood Catholic Beliefs,['Religion']
"Ready, Set, Crochet: Learn to Crochet with 19 Hot Projects (Stand-Up Book)",['Crafts & Hobbies']
"My memoir,",['Biography & Autobiography']
"The Fabulous Sylvester: The Legend, the Music, the Seventies in San Francisco",['Music']
The Thread That Runs So True,['Biography & Autobiography']
"Dawn's Family Fued (The Baby-Sitters Club, #64)",['Juvenile Fiction']
In the Heart of the Sea: The Tragedy of the Whaleship Essex,['History']
Strength Among Women,['Health & Fitness']
Intruder in the dust: A novel,['Fiction']
The Good Priest's Son,['Fiction']
Tizzy,['Juvenile Fiction']
Not to Be Taken (Black Dagger Crime Series),['Fiction']
Casey at the Bat,['Juvenile Fiction']
Slaves of Obsession,['Fiction']
The Elton John Keyboard Book,['Music']
Way Out in the Desert,['Juvenile Fiction']
Hustler Adult Magazine:February 1983,['Performing Arts']
Betty Crocker 4-Ingredient Dinners,['Cooking']
My Mother's Garden,['Social Science']
Taffy of Torpedo Junction,['Juvenile Fiction']
"If You Were with Me, Everything Would Be All Right",['Young Adult Fiction']
"Adoptable Dog: Teaching Your Adopted Pet to Obey, Trust, and Love You",['Pets']
Eyeshot (Wesleyan Poetry Series),['Poetry']
BOYS: CLARRISA EXPLAINS IT ALL (CLARISSA ) (Nickelodeon),['Biography & Autobiography']
The Looking Book : A Hide-and-Seek Counting Story,['Juvenile Fiction']
Struts in Action: Building Web Applications with the Leading Java Framework,['Computers']
All That Glitters: The Crime and the Cover-Up,['Child sexual abuse']
Political Leadership: A Source Book (Pitt Series in Policy and Institutional Studies),['Political Science']
After the War,['Fiction']
Lord of Light,['Fiction']
THE HISTORY OF THE RUSSIAN REVOLUTION,['History']
Meet the Bible,['Religion']
"The Paradise War (The Song of Albion trilogy, Book 1)",['Fiction']
Is Jesus the Only Savior?,['Religion']
Danger Quicksand - Have A Nice Day- An unconvential guide to surviving corporate employment,['Career changes']
Casanova in Bolzano,['Fiction']
Sylvia Browne's Book of Dreams,"['Body, Mind & Spirit']"
The Secret of Wigglesworth's Power,['Religion']
The Bachelor Machine,['Fiction']
The karate dojo;: Traditions and tales of a martial art,['Sports & Recreation']
The First World War (History of Warfare),['History']
Live from New York: An Uncensored History of Saturday Night Live,['Performing Arts']
A child's book of saints,['Juvenile Nonfiction']
The Wind in the Willows,['Self-Help']
HAMMER AND ANVIL (Book II of The Time of Troubles),['Fiction']
Winter Solstice,['Fiction']
"Nutritional Biochemistry, Second Edition",['Medical']
Larry & Lilly Potter: More Than Just Friends,['Biography & Autobiography']
A Hero in Every Heart: Champions from All Walks of Life Share Powerful Messages to Inspire The Hero in Each of Us,['Religion']
The Life of Jesus (Religion),['Biography & Autobiography']
"Gift For Abuelita / Un regalo para Abuelita: Celebrating the Day of the Dead/En celebracion del Dia de los Muertos (English, Multilingual and Spanish Edition)",['Juvenile Nonfiction']
Measurement Error in Nonlinear Models,['Mathematics']
S-M: The Last Taboo,['Fiction']
How to lie with statistics / by Darrell Huff,['Mathematics']
Better Together : Restoring the American Community,['Social Science']
Effective cycling,['Sports & Recreation']
Luba in America,['Comics & Graphic Novels']
Emily's Ghost,['Fiction']
The Purity Principle: God's Safeguards for Life's Dangerous Trails (LifeChange Books),['Family & Relationships']
The Heart of the Hunter,['Travel']
The Titan (Meridian classics),['Fiction']
Horn of the Hunter: The Story of an African Safari,['Sports & Recreation']
Shape of a Pocket,['Art']
Emma's Secret,['Fiction']
The Long Secret,['Juvenile Fiction']
The Days of Summer,['Performing Arts']
"The Secret Architecture of Our Nation's Capital: The Masons and the Building of Washington, D.C.",['History']
Summer of My German Soldier,['Juvenile Fiction']
A Practical Introduction to Econometric Methods:: Classical and Modern,['Business & Economics']
The lollipop party;,['Apartment dwellers']
The President and Mom's Apple Pie,['Juvenile Fiction']
Understanding history;: A primer of historical method,['Historiography.']
Camera Lucida: Reflections on Photography,['Photography']
Name Your Baby,['Family & Relationships']
"Teach Us, Amelia Bedelia",['Accelerated readers']
Regulatory and Advanced Regulatory Control: System Development,['Technology & Engineering']
That's Just Your Interpretation: Responding to Skeptics Who Challenge Your Faith,['Religion']
D.V.,['Computers']
The first Crossing of Greenland,['Science']
The Greatest Generation,['History']
Object Oriented Reengineering Patterns (The Morgan Kaufmann Series in Software Engineering and Programming),['Computers']
The Essential Golden Dawn: An Introduction to High Magic,"['Body, Mind & Spirit']"
"Technical analysis of stock trends,",['Business & Economics']
La Ignorancia,['Business & Economics']
"Cooking for Kings: The Life of Antonin Careme, the First Celebrity Chef",['Cooking']
Jump-Off Creek,['Fiction']
Star girl,['Fiction']
His Unexpected Wife,['Fiction']
The Bronze Horseman: Selected Poems of Alexander Pushkin,['Russian poetry']
Kirith Kirin,['Fiction']
Heller with a Gun,['Fiction']
Carthage,['History']
Learning Joy from Dogs Without Collars : A Memoir,['Biography & Autobiography']
The Barracks Thief,['Fiction']
Open: Inside the Ropes at Bethpage Black,['Sports & Recreation']
Irina's Story,['Fiction']
Rocks and Minerals (National Audubon Society First Field Guides),['Nature']
"The Six Sigma Way: How GE, Motorola, and Other Top Companies are Honing Their Performance",['Business & Economics']
James Herriot's Favorite Dog Stories,['Technology & Engineering']
The Constant Nymph,['Fiction']
The Chicken Pox Panic (The Cul-de-Sac Kids #2) (Book 2),['Juvenile Fiction']
Three Little Kittens,['Juvenile Fiction']
Nebula Awards Showcase 2006,['Fiction']
Ruthie's Gift,['Juvenile Fiction']
"Mayor of Casterbridge, the",['Literary Criticism']
The Four Agreements Companion Book : Using the Four Agreements to Master the Dream of Your Life,['Self-Help']
The Beaded Moccasins: The Story of Mary Campbell,['Juvenile Fiction']
A Very Young Dancer,['Juvenile Nonfiction']
The Devil's Picnic: Around the World in Pursuit of Forbidden Fruit,['Travel']
The Very Best Wedding Planner & Organizer,['Reference']
Hope Dies Last: Keeping The Faith In Troubled Times,['History']
Information Seeking in Electronic Environments (Cambridge Series on Human-Computer Interaction),['Computers']
Good Faith and Truthful Ignorance: A Case of Transatlantic Bigamy,['History']
A book of world religions,['Religion']
American Apartheid,['Social Science']
Spring Awakening,['Drama']
Rainbow's End,['Biography & Autobiography']
Caravaggio (Rizzoli Quadrifolio),['Art']
Essential Managers: Writing Your Resume,['Business & Economics']
The winter of the world,['Fiction']
Abraham Lincoln,['Literary Collections']
Roll over and Play Dead,['Fiction']
"Halo, Books 1-3 (The Flood; First Strike; The Fall of Reach)",['Fiction']
The Art of Loving,['Psychology']
Isaiah Effect,"['Body, Mind & Spirit']"
Object-Oriented Database Design Clearly Explained,['Computers']
"Chi Running: A Revolutionary Approach to Effortless, Injury-Free Running",['Sports & Recreation']
World Pocket Bible,['Religion']
Origins of the American Revolution,['History']
Baseball pals,['Juvenile Fiction']
Howl-O-Ween,['Halloween']
"On the aesthetic education of man,",['Philosophy']
The Educated Child : A Parents Guide From Preschool Through Eighth Grade,['Education']
With Cochrane the Dauntless,['Biography & Autobiography']
Zorba the Greek,['Fiction']
Ulysses S. Grant,['Biography & Autobiography']
Along Came Mary : A Bad Girl Creek Novel,['Fiction']
Till We Have Faces: A Myth Retold,['Fiction']
Seven Days to a Magickal New You,"['Body, Mind & Spirit']"
The Starter Marriage: A Novel,['Social Science']
Philosophical investigations = Philosophische untersuchungen,['Philosophy']
Shaping Seattle Architecture: A Historical Guide to the Architects,['Architecture']
Charms for the Easy Life,['Fiction']
"Saddle and Western Gear Catalog, 1938",['Antiques & Collectibles']
Walking in Victory: Experiencing True Sanctification and Holiness through God's Grace,['Religion']
Hiking Alaska (State Hiking Series),['Sports & Recreation']
The World of Musical Comedy,['Composers']
Chimney Swift Towers: New Habitat for America's Mysterious Birds (Louise Lindsey Merrick Natural Environment Series),['Nature']
The black arrow: A tale of the two roses (The biographical edition of the works of Robert Louis Stevenson),['Juvenile Nonfiction']
The New American Bible For Catholics,['Bibles']
"UNESCO General History of Africa, Vol. VIII: Africa since 1935 (unabridged paperback)",['History']
The Language of Mathematics: Making the Invisible Visible,['Mathematics']
